[27/Dec/2023 12:43:34] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:296] Watching dir /workspace/.pip-modules/lib/python3.9/site-packages/crispy_bootstrap5/templates with glob **/*.
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:296] Watching dir /workspace/localle/core/templates with glob **/*.
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:296] Watching dir /workspace/.pip-modules/lib/python3.9/site-packages/cloudinary/templates with glob **/*.
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:296] Watching dir /workspace/localle/templates with glob **/*.
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:296] Watching dir /workspace/.pip-modules/lib/python3.9/site-packages/allauth/templates with glob **/*.
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:296] Watching dir /workspace/localle/store/templates with glob **/*.
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:296] Watching dir /workspace/localle/inventory/templates with glob **/*.
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:296] Watching dir /workspace/localle/locale with glob **/*.mo.
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:296] Watching dir /workspace/.pip-modules/lib/python3.9/site-packages/cloudinary_storage/locale with glob **/*.mo.
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:296] Watching dir /workspace/.pip-modules/lib/python3.9/site-packages/allauth/locale with glob **/*.mo.
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:296] Watching dir /workspace/.pip-modules/lib/python3.9/site-packages/allauth/account/locale with glob **/*.mo.
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:296] Watching dir /workspace/.pip-modules/lib/python3.9/site-packages/allauth/socialaccount/locale with glob **/*.mo.
[27/Dec/2023 12:43:34] DEBUG [django.utils.autoreload:296] Watching dir /workspace/.pip-modules/lib/python3.9/site-packages/crispy_forms/locale with glob **/*.mo.
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:296] Watching dir /workspace/.pip-modules/lib/python3.9/site-packages/crispy_bootstrap5/locale with glob **/*.mo.
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:296] Watching dir /workspace/.pip-modules/lib/python3.9/site-packages/cloudinary/locale with glob **/*.mo.
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:296] Watching dir /workspace/localle/core/locale with glob **/*.mo.
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:296] Watching dir /workspace/localle/inventory/locale with glob **/*.mo.
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:296] Watching dir /workspace/localle/store/locale with glob **/*.mo.
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /home/gitpod/.pyenv/versions/3.9.17/lib/python3.9/lib-dynload/select.cpython-39-x86_64-linux-gnu.so first seen with mtime 1702968829.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /workspace/.pip-modules/lib/python3.9/site-packages/django/core/cache/utils.py first seen with mtime 1703091126.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /workspace/.pip-modules/lib/python3.9/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1703091126.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /workspace/.pip-modules/lib/python3.9/site-packages/django/templatetags/static.py first seen with mtime 1703091126.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /home/gitpod/.pyenv/versions/3.9.17/lib/python3.9/email/utils.py first seen with mtime 1702968849.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /home/gitpod/.pyenv/versions/3.9.17/lib/python3.9/pickle.py first seen with mtime 1702968848.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /home/gitpod/.pyenv/versions/3.9.17/lib/python3.9/queue.py first seen with mtime 1702968848.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /home/gitpod/.pyenv/versions/3.9.17/lib/python3.9/lib-dynload/_posixsubprocess.cpython-39-x86_64-linux-gnu.so first seen with mtime 1702968831.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /workspace/.pip-modules/lib/python3.9/site-packages/django/utils/formats.py first seen with mtime 1703091126.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /workspace/.pip-modules/lib/python3.9/site-packages/crispy_forms/utils.py first seen with mtime 1703264254.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /workspace/.pip-modules/lib/python3.9/site-packages/django/db/models/constants.py first seen with mtime 1703091126.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /workspace/.pip-modules/lib/python3.9/site-packages/django/contrib/admin/widgets.py first seen with mtime 1703091126.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /workspace/.pip-modules/lib/python3.9/site-packages/crispy_forms/exceptions.py first seen with mtime 1703264254.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /workspace/.pip-modules/lib/python3.9/site-packages/urllib3/util/ssl_match_hostname.py first seen with mtime 1703100499.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /workspace/.pip-modules/lib/python3.9/site-packages/django/core/checks/caches.py first seen with mtime 1703091126.0
[27/Dec/2023 12:43:35] DEBUG [django.utils.autoreload:394] File /workspace/.pip-modules/lib/python3.9/site-packages/django/urls/conf.py first seen with mtime 1703091126.0
